Date,Cash,Portfolio_Value,Total_Equity
2016-01-04,402.14,9597.86,10000.0
2016-01-05,7.29,10228.7,10235.99
2016-01-06,103.44,10096.48,10199.92
2016-01-07,14.92,9996.79,10011.71
2016-01-08,34.38,9957.38,9991.76
2016-01-11,44.19,9725.34,9769.53
2016-01-12,0.96,9805.81,9806.77
2016-01-13,0.96,9776.62,9777.58
2016-01-14,0.96,9803.48,9804.44
2016-01-15,0.96,9517.83,9518.79
2016-01-18,0.96,9388.24,9389.2
2016-01-19,0.96,9402.04,9403.0
2016-01-20,0.96,9202.78,9203.74
2016-01-21,0.96,9271.95,9272.91
2016-01-22,0.96,9370.06,9371.03
2016-01-26,0.96,9313.92,9314.88
2016-01-27,0.96,9488.49,9489.45
2016-01-28,0.96,9596.23,9597.19
2016-01-29,0.96,10067.58,10068.55
2016-02-01,0.96,10102.9,10103.87
2016-02-02,0.96,9729.85,9730.81
2016-02-03,0.96,9978.63,9979.6
2016-02-04,0.96,10088.52,10089.48
2016-02-05,0.96,9933.73,9934.69
2016-02-10,0.96,9897.17,9898.13
2016-02-11,0.96,9715.99,9716.95
2016-02-12,0.96,9726.98,9727.95
2016-02-15,0.96,9670.35,9671.31
2016-02-16,0.96,9879.15,9880.12
2016-02-17,0.96,9924.7,9925.66
2016-02-18,0.96,9937.47,9938.43
2016-02-19,0.96,9934.95,9935.91
2016-02-22,0.96,10320.3,10321.27
2016-02-23,10.77,10156.01,10166.78
2016-02-24,6.49,9969.76,9976.25
2016-02-25,6.49,9985.13,9991.62
2016-02-26,6.49,9935.14,9941.63
2016-02-29,6.49,10253.15,10259.63
2016-03-01,9.82,10494.17,10503.99
2016-03-02,6.26,10687.99,10694.25
2016-03-03,468.95,10628.07,11097.02
2016-03-04,11.12,11420.36,11431.48
2016-03-07,141.59,11300.28,11441.87
2016-03-08,17.45,11728.3,11745.75
2016-03-09,39.88,11659.83,11699.71
2016-03-10,51.24,11896.35,11947.59
2016-03-11,62.32,12104.92,12167.24
2016-03-14,50.23,11916.31,11966.54
2016-03-15,2.57,11221.0,11223.57
2016-03-16,2.57,11345.94,11348.51
2016-03-17,2.57,12126.09,12128.66
2016-03-18,2.57,12109.31,12111.88
2016-03-21,2.57,12223.28,12225.84
2016-03-22,2.57,12161.82,12164.39
2016-03-23,2.57,11874.79,11877.36
2016-03-24,2.57,11748.71,11751.28
2016-03-28,2.57,12006.16,12008.73
2016-03-29,2.57,12104.65,12107.22
2016-03-30,2.57,12129.14,12131.71
2016-03-31,2.57,11971.8,11974.37
2016-04-01,2.57,12067.82,12070.39
2016-04-04,2.57,11623.41,11625.97
2016-04-05,2.57,11574.17,11576.74
2016-04-06,2.57,11516.79,11519.36
2016-04-07,2.57,11659.07,11661.64
2016-04-08,2.57,12140.59,12143.16
2016-04-11,2.57,12068.4,12070.97
2016-04-12,2.57,12379.49,12382.06
2016-04-13,2.57,12476.25,12478.82
2016-04-14,2.57,12356.0,12358.57
2016-04-15,2.57,12606.56,12609.13
2016-04-18,2.57,12553.35,12555.92
2016-04-19,2.57,12755.44,12758.01
2016-04-20,2.57,12639.89,12642.46
2016-04-22,2.57,12680.12,12682.69
2016-04-25,2.57,12305.38,12307.95
2016-04-26,2.57,12638.44,12641.01
2016-04-27,2.57,12962.61,12965.18
2016-04-28,2.57,12935.49,12938.06
2016-04-29,2.57,12885.36,12887.93
2016-05-02,2.57,12756.11,12758.68
2016-05-03,2.57,12491.28,12493.85
2016-05-04,2.57,12564.23,12566.79
2016-05-05,2.57,12369.41,12371.98
2016-05-06,2.57,12468.93,12471.5
2016-05-09,2.57,12363.82,12366.39
2016-05-10,2.57,12724.92,12727.49
2016-05-11,2.57,12703.98,12706.55
2016-05-12,2.57,12770.16,12772.73
2016-05-13,2.57,12503.81,12506.38
2016-05-16,2.57,12532.19,12534.76
2016-05-17,2.57,12330.69,12333.26
2016-05-18,2.57,12300.16,12302.73
2016-05-19,2.57,12140.69,12143.26
2016-05-20,2.57,12165.1,12167.66
2016-05-23,2.57,12066.2,12068.77
2016-05-24,2.57,11974.15,11976.72
2016-05-25,2.57,11917.26,11919.83
2016-05-27,2.57,11839.52,11842.09
2016-05-30,2.57,11861.42,11863.99
2016-05-31,2.57,11815.68,11818.24
2016-06-01,2.57,11950.51,11953.07
2016-06-02,2.57,12080.19,12082.76
2016-06-03,2.57,12189.29,12191.86
2016-06-06,2.57,12201.21,12203.78
2016-06-07,2.57,12233.81,12236.38
2016-06-08,2.57,12465.11,12467.68
2016-06-09,2.57,12416.66,12419.23
2016-06-10,2.57,12082.98,12085.55
2016-06-13,2.57,12142.27,12144.84
2016-06-14,2.57,11898.99,11901.56
2016-06-15,2.57,11931.79,11934.36
